route,page_type,collection,slug,title,status,notes
"/","homepage","Static","home","homepage","generated",""
"/404.html","not_found","Static","404.html","not_found","generated",""
"/blog/","blog_index","Static","blog","blog_index","generated",""
"/blog/average-vet-costs-in-canada/","blog_post","Blog Posts","average-vet-costs-in-canada","Average Vet Costs in Canada (2025) - Why Pet Insurance Matters","generated",""
"/blog/best-dog-leashes-for-hiking-in-canada/","blog_post","Blog Posts","best-dog-leashes-for-hiking-in-canada","Best Dog Leashes for Hiking in Canada: Tested on Trails","generated",""
"/blog/best-dogs-for-apartment-living-in-canada/","blog_post","Blog Posts","best-dogs-for-apartment-living-in-canada","Best Dogs for Apartment Living in Canada","generated",""
"/blog/best-family-dogs-in-canada/","blog_post","Blog Posts","best-family-dogs-in-canada","Best Family Dogs in Canada (By Breed Group)","generated",""
"/blog/best-fresh-dog-food-for-labrador-retrievers-in-canada/","blog_post","Blog Posts","best-fresh-dog-food-for-labrador-retrievers-in-canada","Best Fresh Dog Food for Labrador Retrievers in Canada (Vet-Approved & Delivered)","generated",""
"/blog/best-greeting-exercises-to-reduce-jumping-barking-or-biting/","blog_post","Blog Posts","best-greeting-exercises-to-reduce-jumping-barking-or-biting","Best Greeting Exercises to Reduce Jumping, Barking, or Biting","generated",""
"/blog/best-hypoallergenic-dog-breeds-canadian-families/","blog_post","Blog Posts","best-hypoallergenic-dog-breeds-canadian-families","Best Hypoallergenic Dog Breeds for Canadian Families","generated",""
"/blog/best-male-labrador-names/","blog_post","Blog Posts","best-male-labrador-names","What Is the Best Name for a Male Labrador?","generated",""
"/blog/blog-dog-park-etiquette-canada/","blog_post","Blog Posts","blog-dog-park-etiquette-canada","Dog Park Etiquette 101: A Canadian Guide","generated",""
"/blog/category/dog-breeds/","blogCategories","Blog Categories","dog-breeds","Discover Dog Breeds, Traits & Care Guides for Every Type of Dog","generated",""
"/blog/category/dog-gear/","blogCategories","Blog Categories","dog-gear","Dog Gear Guides, Reviews & Outdoor Essentials for Canadian Dogs","generated",""
"/blog/category/dog-names/","blogCategories","Blog Categories","dog-names","Dog Name Ideas, Meanings & Inspiration for Every Breed","generated",""
"/blog/category/dog-parks/","blogCategories","Blog Categories","dog-parks","Best Dog Parks in Canada | Off-Leash Guides by City & Province","generated",""
"/blog/category/health-wellness/","blogCategories","Blog Categories","health-wellness","Dog Health & Wellness Tips | Nutrition, Care & Prevention","generated",""
"/blog/category/lifestyle-community/","blogCategories","Blog Categories","lifestyle-community","Lifestyle & Community","generated",""
"/blog/category/training-behavior/","blogCategories","Blog Categories","training-behavior","Training & Behavior","generated",""
"/blog/crate-training-101-puppy-guide/","blog_post","Blog Posts","crate-training-101-puppy-guide","Crate Training 101: How to Make Crate Time Positive for Your Puppy","generated",""
"/blog/dealing-with-separation-anxiety-in-dogs/","blog_post","Blog Posts","dealing-with-separation-anxiety-in-dogs","Dealing with Separation Anxiety in Dogs: A Family Guide That Works","generated",""
"/blog/diy-halloween-dog-costumes/","blog_post","Blog Posts","diy-halloween-dog-costumes","DIY Dog Halloween Costumes You Can Make at Home","generated",""
"/blog/dog-age-calculator/","blog_post","Blog Posts","dog-age-calculator","Dog Age Calculator: Find Out How Old Your Dog Really Is in Human Years","generated",""
"/blog/dog-insurance-waiting-periods-canada/","blog_post","Blog Posts","dog-insurance-waiting-periods-canada","Dog Insurance Waiting Periods Explained (Accident vs Illness)","generated",""
"/blog/halloween-dog-costume-ideas-2025/","blog_post","Blog Posts","halloween-dog-costume-ideas-2025","Top 15 Halloween Dog Costume Ideas for 2025","generated",""
"/blog/halloween-dog-safety-tips/","blog_post","Blog Posts","halloween-dog-safety-tips","Halloween Safety Tips for Dogs: Keep Your Pup Calm and Safe","generated",""
"/blog/help-reactive-dog-stay-calm-on-walks/","blog_post","Blog Posts","help-reactive-dog-stay-calm-on-walks","How to Help a Reactive Dog Stay Calm on Walks","generated",""
"/blog/how-cold-is-too-cold-for-a-dog-walk/","blog_post","Blog Posts","how-cold-is-too-cold-for-a-dog-walk","How Cold Is Too Cold for a Dog Walk?","generated",""
"/blog/how-to-choose-the-right-dog-park-for-your-pup/","blog_post","Blog Posts","how-to-choose-the-right-dog-park-for-your-pup","How to Choose the Right Dog Park for Your Pup","generated",""
"/blog/how-to-potty-train-puppy-in-condo-apartment/","blog_post","Blog Posts","how-to-potty-train-puppy-in-condo-apartment","How to Potty Train (House Train) Your Puppy in a Condo or Apartment","generated",""
"/blog/how-to-socialize-your-puppy/","blog_post","Blog Posts","how-to-socialize-your-puppy","How to Socialize Your Puppy: A Step-by-Step Canadian Guide","generated",""
"/blog/is-dog-insurance-worth-it-canada/","blog_post","Blog Posts","is-dog-insurance-worth-it-canada","Is Dog Insurance Worth It in Canada?","generated",""
"/blog/is-it-ever-too-late-to-socialize-a-dog/","blog_post","Blog Posts","is-it-ever-too-late-to-socialize-a-dog","Is It Ever Too Late to Socialize a Dog?","generated",""
"/blog/keeping-your-dog-active-indoors-during-winter/","blog_post","Blog Posts","keeping-your-dog-active-indoors-during-winter","Keeping Your Dog Active Indoors During Winter","generated",""
"/blog/low-shedding-dog-breeds-for-allergy-sufferers/","blog_post","Blog Posts","low-shedding-dog-breeds-for-allergy-sufferers","Low-Shedding Dog Breeds for Allergy Sufferers (Canada Edition)","generated",""
"/blog/most-googled-dog-questions/","blog_post","Blog Posts","most-googled-dog-questions","5 Most Googled Dog Questions - Answered","generated",""
"/blog/puppy-training-independence-games/","blog_post","Blog Posts","puppy-training-independence-games","Puppy Training 101: Independence Games to Prevent Separation Anxiety","generated",""
"/blog/smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear/","blog_post","Blog Posts","smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear","Smartest Dog Breeds in Canada: Easy to Train and Eager to Learn","generated",""
"/blog/tag/adoption/","blogTags","Blog Tags","adoption","Dog Adoption Stories, Rescue Tips & Shelter Guides","generated",""
"/blog/tag/adventure-gear/","blogTags","Blog Tags","adventure-gear","Outdoor Adventure Gear for Active Dogs in Canada","generated",""
"/blog/tag/calgary/","blogTags","Blog Tags","calgary","Calgary Dog Parks, Events & Local Dog Life","generated",""
"/blog/tag/canadian-brands/","blogTags","Blog Tags","canadian-brands","Trusted Canadian Dog Gear Brands You’ll Love","generated",""
"/blog/tag/canadian-dogs/","blogTags","Blog Tags","canadian-dogs","Celebrating Canadian Dogs, Culture & Lifestyle","generated",""
"/blog/tag/dog-allergies/","blogTags","Blog Tags","dog-allergies","Dog Allergies","generated",""
"/blog/tag/dog-friendly-travel/","blogTags","Blog Tags","dog-friendly-travel","Dog-Friendly Travel","generated",""
"/blog/tag/dog-parks/","blogTags","Blog Tags","dog-parks","Dog Parks","generated",""
"/blog/tag/french-bulldog/","blogTags","Blog Tags","french-bulldog","French Bulldog","generated",""
