"route","title","meta_description","h1_count","text_length","broken_internal_links","redirect_covered_links","broken_images","placeholder_images","canonical","missing_from_sitemap","notes"
"/404.html","Page Not Found | LeashFree.ca","The requested LeashFree.ca page was not found.","1","852","","","","0","https://leashfree.ca/404/","no",""
"/blog/average-vet-costs-in-canada/","Average Vet Costs in Canada (2025) - How Much Does a Vet Visit Cost? | LeashFree.ca","Discover the average cost of vet visits, diagnostics, and surgery in Canada for 2025. See how dog insurance helps protect against rising veterinary expenses.","1","3724","","","","0","https://leashfree.ca/blog/average-vet-costs-in-canada/","no",""
"/blog/best-dog-leashes-for-hiking-in-canada/","Best Dog Leashes for Hiking in Canada | Adventure Dog Gear Guide | LeashFree.ca","Discover the best dog leashes for hiking in Canada. From hands-free to rope and reflective leashes, find durable gear for every trail adventure - featuring Rocky Mountain Dog.","1","2916","","","","0","https://leashfree.ca/blog/best-dog-leashes-for-hiking-in-canada/","no",""
"/blog/best-dogs-for-apartment-living-in-canada/","Best Dogs for Apartment Living in Canada: Calm & Small Breeds | LeashFree.ca","Living in a condo or apartment? Discover the best small, quiet, and low-shedding dog breeds in Canada that thrive in smaller spaces and family life.","1","4690","","/breed-groups/toy-dogs; /breed-groups/hybrid-designer-mixes","","0","https://leashfree.ca/blog/best-dogs-for-apartment-living-in-canada/","no",""
"/blog/best-family-dogs-in-canada/","Best Family Dogs in Canada: Top Breeds by Group | LeashFree.ca","Discover the best family-friendly dog breeds in Canada, from loyal retrievers to gentle toy dogs. Explore top picks by breed group and find your perfect match.","1","5350","","","","0","https://leashfree.ca/blog/best-family-dogs-in-canada/","no",""
"/blog/best-fresh-dog-food-for-labrador-retrievers-in-canada/","Best Fresh Dog Food for Labrador Retrievers in Canada | LeashFree.ca","Looking for the best fresh dog food for your Labrador Retriever? Discover vet-approved Canadian options, tailored nutrition tips, and why Labradors thrive on NutriCanine’s fresh recipes.","1","6210","","","","0","https://leashfree.ca/blog/best-fresh-dog-food-for-labrador-retrievers-in-canada/","no",""
"/blog/best-greeting-exercises-to-reduce-jumping-barking-or-biting/","Best Greeting Exercises to Stop Dog Jumping, Barking & Biting | LeashFree.ca","Discover the best greeting exercises to teach your dog calm, polite hellos. Learn how to stop jumping, barking, or nipping with positive, easy-to-follow training tips from LeashFree.ca.","1","5726","","","","0","https://leashfree.ca/blog/best-greeting-exercises-to-reduce-jumping-barking-or-biting/","no",""
"/blog/best-hypoallergenic-dog-breeds-canadian-families/","Best Hypoallergenic Dog Breeds for Canadian Families | LeashFree.ca","Discover the best hypoallergenic dog breeds for Canadian families. From Poodles to Schnauzers, explore low-shedding, allergy-friendly breeds perfect for family life.","1","4723","","","","0","https://leashfree.ca/blog/best-hypoallergenic-dog-breeds-canadian-families/","no",""
"/blog/best-male-labrador-names/","Best Male Labrador Names | Top Name Ideas for Labrador Retrievers | LeashFree.ca","Looking for the perfect name for your male Labrador? Discover classic, strong, and fun name ideas that fit your Lab’s loyal and playful personality.","1","3698","","/dog-names","","0","https://leashfree.ca/blog/best-male-labrador-names/","no",""
"/blog/blog-dog-park-etiquette-canada/","Dog Park Etiquette 101: A Canadian Guide | LeashFree.ca","Learn the do’s and don’ts of dog park etiquette in Canada. From recall training to cleanup rules, discover how to keep off-leash parks safe and fun for everyone.","1","3667","","","","0","https://leashfree.ca/blog/blog-dog-park-etiquette-canada/","no",""
