word,hint,meaning,difficulty,is_answer,weight,valid_from,length
BARK,Dog sound,"Short, sharp canine vocalization",Easy,TRUE,1,2025-11-03,4
WOOF,Dog bark sound,Onomatopoeic bark sound,Easy,TRUE,1,2025-11-03,4
HOWL,Long call,"Long, mournful canine call",Easy,TRUE,1,2025-11-03,4
YELP,Pain cry,Short sharp cry of pain,Easy,TRUE,1,2025-11-03,4
GNAW,Chew hard,Chew persistently with the teeth,Easy,TRUE,1,2025-11-03,4
LICK,Dog kiss,Touch with the tongue,Easy,TRUE,1,2025-11-03,4
BITE,Mouth grip,Use teeth to grip or chew,Easy,TRUE,1,2025-11-03,4
PAWS,Feet of dogs,Feet with pads and claws,Easy,TRUE,1,2025-11-03,4
TAIL,Wagging part,Rear appendage dogs wag,Easy,TRUE,1,2025-11-03,4
NOSE,Smeller,Organ of smell; end of snout,Easy,TRUE,1,2025-11-03,4
EARS,Hearing,Organs of hearing,Easy,TRUE,1,2025-11-03,4
EYES,Vision,Organs of sight,Easy,TRUE,1,2025-11-03,4
PADS,Foot pads,Cushioned paw bottoms,Easy,TRUE,1,2025-11-03,4
BONE,Chew item,Chewable treat/toy dogs enjoy,Easy,TRUE,1,2025-11-03,4
PUPS,Young dogs,Plural of puppy,Easy,TRUE,1,2025-11-03,4
WALK,Daily walk,To go for a walk,Easy,TRUE,1,2025-11-03,4
LEAD,Walking strap,Strap used to guide a dog,Easy,TRUE,1,2025-11-03,4
HEEL,Walk close,Dog walks at handler’s side,Easy,TRUE,1,2025-11-03,4
COME,Recall cue,Command to return,Easy,TRUE,1,2025-11-03,4
STAY,Hold position,Command to remain,Easy,TRUE,1,2025-11-03,4
DOWN,Lie down cue,Command to lie down,Easy,TRUE,1,2025-11-03,4
DROP,Release item,Command to let go,Easy,TRUE,1,2025-11-03,4
ROLL,Trick cue,Roll over onto back,Easy,TRUE,1,2025-11-03,4
PLAY,Dog fun,Activity dogs enjoy,Easy,TRUE,1,2025-11-03,4
REST,Quiet time,Relaxation period,Easy,TRUE,1,2025-11-03,4
JUMP,Leap up,Propel off the ground,Easy,TRUE,1,2025-11-03,4
BOWL,Dish,Container for food/water,Easy,TRUE,1,2025-11-03,4
FOOD,Meals,Edible nourishment,Easy,TRUE,1,2025-11-03,4
FLEA,Parasite,Small biting insect on pets,Easy,TRUE,1,2025-11-03,4
TICK,Parasite,Blood-feeding arachnid,Easy,TRUE,1,2025-11-03,4
MITE,Tiny pest,Small arthropod causing irritation,Easy,TRUE,1,2025-11-03,4
LICE,External pest,Parasitic insects on hair/skin,Easy,TRUE,1,2025-11-03,4
RUNT,Smallest pup,Smallest puppy in the litter,Easy,TRUE,1,2025-11-03,4
HUNT,Chase prey,Pursue by scent or sight,Easy,TRUE,1,2025-11-03,4
LURE,Training aid,Object used to attract attention,Easy,TRUE,1,2025-11-03,4
LEAP,Jump forward,Spring or jump,Easy,TRUE,1,2025-11-03,4
COAT,Fur layer,Hair covering of a dog,Easy,TRUE,1,2025-11-03,4
HAIR,Strand of fur,Individual hair of coat,Easy,TRUE,1,2025-11-03,4
HIPS,Joint area,Hip joints of a dog,Easy,TRUE,1,2025-11-03,4
LIMB,Leg/arm,A dog’s leg (limb),Easy,TRUE,1,2025-11-03,4
NAPS,Short sleeps,Brief periods of sleep,Easy,TRUE,1,2025-11-03,4
SPAY,Sterilize female,Surgical sterilization of a female,Easy,TRUE,1,2025-11-03,4
VETS,Animal doctors,Veterinarians,Easy,TRUE,1,2025-11-03,4
YARD,Fenced area,Outdoor area at home,Easy,TRUE,1,2025-11-03,4
GATE,Barrier,Device that keeps areas secure,Easy,TRUE,1,2025-11-03,4
LEGS,Limbs,Dog’s legs,Easy,TRUE,1,2025-11-03,4
MOLT,Shed hair,Shedding of the coat,Easy,TRUE,1,2025-11-03,4
WAIT,Pause command,Command to pause briefly,Easy,TRUE,1,2025-11-03,4
QUIET,Stop barking,Command to be quiet,Easy,TRUE,1,2025-11-03,5
PLACE,Mat command,Command to go to a defined spot,Easy,TRUE,1,2025-11-03,5
LEASH,Walking strap,Strap used to control a dog,Medium,TRUE,1,2025-11-03,5
FETCH,Retrieve game,Dog retrieves a thrown item,Medium,TRUE,1,2025-11-03,5
TREAT,Reward food,Snack given for good behavior,Medium,TRUE,1,2025-11-03,5
CRATE,Kennel box,Enclosure for transport or sleep,Medium,TRUE,1,2025-11-03,5
SNIFF,Smell action,Inhale through the nose to detect scent,Medium,TRUE,1,2025-11-03,5
GROOM,Fur care,"Clean, brush, or trim a dog",Medium,TRUE,1,2025-11-03,5
BONES,Chew items,Hard treats or toys to gnaw,Medium,TRUE,1,2025-11-03,5
WHINE,Soft cry,High-pitched complaint sound,Medium,TRUE,1,2025-11-03,5
GUARD,Protect,Watch over and protect,Medium,TRUE,1,2025-11-03,5
CHASE,Run after,Pursue quickly,Medium,TRUE,1,2025-11-03,5
LICKS,Dog kisses,Touches with the tongue,Medium,TRUE,1,2025-11-03,5
PAWED,Touched with paw,Struck or tapped using a paw,Medium,TRUE,1,2025-11-03,5
SNOUT,Face part,Projecting nose and mouth area,Medium,TRUE,1,2025-11-03,5
HOWLS,Long calls,"Long, mournful vocalizations",Medium,TRUE,1,2025-11-03,5
YELPS,Pain cries,Sharp cries of pain or surprise,Medium,TRUE,1,2025-11-03,5
WOOFS,Playful barks,Friendly vocal sounds,Medium,TRUE,1,2025-11-03,5
BARKS,Dog sounds,Short sharp barks,Medium,TRUE,1,2025-11-03,5
BLOAT,Urgent risk,Stomach distention (GDV risk),Medium,TRUE,1,2025-11-03,5
MANGE,Skin mites,Skin disease caused by mites,Medium,TRUE,1,2025-11-03,5
FLEAS,Jumping pests,Small biting insects on pets,Medium,TRUE,1,2025-11-03,5
TICKS,External pests,Blood-feeding arachnids,Medium,TRUE,1,2025-11-03,5
WORMS,Intestinal pests,Parasitic worms in pets,Medium,TRUE,1,2025-11-03,5
TEETH,Chompers,Hard structures for biting/chewing,Medium,TRUE,1,2025-11-03,5
TOOTH,Single tooth,One of the bony structures for biting,Medium,TRUE,1,2025-11-03,5
COATS,Fur layers,Dog’s hair covering,Medium,TRUE,1,2025-11-03,5
CLAWS,Toe tips,Curved nails on toes,Medium,TRUE,1,2025-11-03,5
NAILS,Toe keratin,Hard protective coverings,Medium,TRUE,1,2025-11-03,5
FURRY,Hairy coat,Having lots of fur,Medium,TRUE,1,2025-11-03,5
MIXED,Mixed breed,Of combined ancestry,Medium,TRUE,1,2025-11-03,5
BREED,Type of dog,Group with shared traits,Medium,TRUE,1,2025-11-03,5
ALERT,Watchful,Quick to notice danger,Medium,TRUE,1,2025-11-03,5
TRACK,Follow scent,Trail a person/animal by scent,Medium,TRUE,1,2025-11-03,5
TRAIL,Scent path,Path of odor left behind,Medium,TRUE,1,2025-11-03,5
FENCE,Yard barrier,Structure enclosing an area,Medium,TRUE,1,2025-11-03,5
SWIMS,Water play,Propel through water,Medium,TRUE,1,2025-11-03,5
