"priority","collection","item_name","item_slug","field_name","original_webflow_url","current_local_filename","suggested_filename","suggested_public_path","status","notes"
"High","Blog Posts","15 Most Googled Dog Questions - Answered","most-googled-dog-questions","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ec165eb9a096633f2b7b56_curious-mixed-breed-dog-questions-leashfree-2880x1488.jpg","","blog-most-googled-dog-questions-hero.jpg","/images/blog/blog-most-googled-dog-questions-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Average Vet Costs in Canada","average-vet-costs-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f2a729386c8e6a61f5e78c_average-vet-costs-in-canada-hero.jpg","","blog-average-vet-costs-in-canada-hero.jpg","/images/blog/blog-average-vet-costs-in-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Best Dog Leashes for Hiking in Canada: Tested on Trails","best-dog-leashes-for-hiking-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69066b542ae91f2b41da4c20_dog-hiking-canadian-trail-hands-free-leash.jpg","","blog-best-dog-leashes-for-hiking-in-canada-hero.jpg","/images/blog/blog-best-dog-leashes-for-hiking-in-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Best Dogs for Apartment Living in Canada","best-dogs-for-apartment-living-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68eafe5ecbbb60c6fc3f2f2c_best-apartment-dogs-canada-hero.jpg","","blog-best-dogs-for-apartment-living-in-canada-hero.jpg","/images/blog/blog-best-dogs-for-apartment-living-in-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Best Family Dogs in Canada","best-family-dogs-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68eaedfc05de15ff5531fa44_best-family-dogs-in-canada-hero.jpg","","blog-best-family-dogs-in-canada-hero.jpg","/images/blog/blog-best-family-dogs-in-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Best Fresh Dog Food for Labrador Retrievers in Canada","best-fresh-dog-food-for-labrador-retrievers-in-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69051f882cfd5e41d1b44ce9_labrador-fresh-dog-food-kitchen-canada.jpg","","blog-best-fresh-dog-food-for-labrador-retrievers-in-canada-hero.jpg","/images/blog/blog-best-fresh-dog-food-for-labrador-retrievers-in-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Best Greeting Exercises to Reduce Jumping, Barking, or Biting","best-greeting-exercises-to-reduce-jumping-barking-or-biting","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/69012e53be47753064e9b9e0_calm-dog-greeting-owner-home.jpg","","blog-best-greeting-exercises-to-reduce-jumping-barking-or-biting-hero.jpg","/images/blog/blog-best-greeting-exercises-to-reduce-jumping-barking-or-biting-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Best Hypoallergenic Dog Breeds for Canadian Families","best-hypoallergenic-dog-breeds-canadian-families","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68dea1f8c23f49d7289bc1f3_hypoallergenic-dog-breeds-canadian-families-hero-leashfree-2880x1488.jpg","","blog-best-hypoallergenic-dog-breeds-canadian-families-hero.jpg","/images/blog/blog-best-hypoallergenic-dog-breeds-canadian-families-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Crate Training 101","crate-training-101-puppy-guide","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e1449fd7eae91a47fbf3c5_crate-training-puppy-hero-leashfree-2880x1488.jpg","","blog-crate-training-101-puppy-guide-hero.jpg","/images/blog/blog-crate-training-101-puppy-guide-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","DIY Dog Halloween Costumes You Can Make at Home","diy-halloween-dog-costumes","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e19508bac9120c0c526b79_diy-halloween-dog-costumes-hero-leashfree-2880x1488.jpg","","blog-diy-halloween-dog-costumes-hero.jpg","/images/blog/blog-diy-halloween-dog-costumes-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Dealing with Separation Anxiety in Dogs","dealing-with-separation-anxiety-in-dogs","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68cc9cad824073630ff2fc66_dog-separation-anxiety-destruction-hero-leashfree-2880x1488.jpg","","blog-dealing-with-separation-anxiety-in-dogs-hero.jpg","/images/blog/blog-dealing-with-separation-anxiety-in-dogs-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Dog Age Calculator","dog-age-calculator","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e14dd36ddecd48f991e2ca_dog-age-calculator-hero.jpg","","blog-dog-age-calculator-hero.jpg","/images/blog/blog-dog-age-calculator-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Dog Insurance Waiting Periods Explained","dog-insurance-waiting-periods-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ee871bc6ce42f665902a96_dog-insurance-waiting-periods-canada-hero.jpg","","blog-dog-insurance-waiting-periods-canada-hero.jpg","/images/blog/blog-dog-insurance-waiting-periods-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Dog Park Etiquette 101: A Canadian Guide","blog-dog-park-etiquette-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68c4dd4034b88e923d0d0f57_dog-park-etiquette-canadian-guide-hero-leashfree-2880x1488.jpg","","blog-blog-dog-park-etiquette-canada-hero.jpg","/images/blog/blog-blog-dog-park-etiquette-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Halloween Safety Tips for Dogs","halloween-dog-safety-tips","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ea48df6b020fb9d4b46298_halloween-dog-safety-tips-hero-leashfree-2880x1488.jpg","","blog-halloween-dog-safety-tips-hero.jpg","/images/blog/blog-halloween-dog-safety-tips-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","How Cold Is Too Cold for a Dog Walk?","how-cold-is-too-cold-for-a-dog-walk","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68fd0967eef6426647da16d9_how-cold-is-too-cold-for-a-dog-walk-hero-leashfree-2880x1488.jpg","","blog-how-cold-is-too-cold-for-a-dog-walk-hero.jpg","/images/blog/blog-how-cold-is-too-cold-for-a-dog-walk-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","How to Choose the Right Dog Park for Your Pup","how-to-choose-the-right-dog-park-for-your-pup","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e14603973359ef99efc874_choose-right-dog-park-hero-leashfree-2880x1488.jpg","","blog-how-to-choose-the-right-dog-park-for-your-pup-hero.jpg","/images/blog/blog-how-to-choose-the-right-dog-park-for-your-pup-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","How to Condo Train Your Puppy","how-to-potty-train-puppy-in-condo-apartment","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68deb0ccba76176a8239fc9f_puppy-condo-potty-training-hero-leashfree-2880x1488.jpg","","blog-how-to-potty-train-puppy-in-condo-apartment-hero.jpg","/images/blog/blog-how-to-potty-train-puppy-in-condo-apartment-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","How to Help a Reactive Dog Stay Calm on Walks","help-reactive-dog-stay-calm-on-walks","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f3df549596800bcc6aa058_help-reactive-dog-stay-calm-on-walks-hero-leashfree-2880x1488.jpg","","blog-help-reactive-dog-stay-calm-on-walks-hero.jpg","/images/blog/blog-help-reactive-dog-stay-calm-on-walks-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","How to Socialize Your Puppy","how-to-socialize-your-puppy","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d345ff82d182b0ee19b62e_puppy-socialization-hero-leashfree-2880x1488.jpg","","blog-how-to-socialize-your-puppy-hero.jpg","/images/blog/blog-how-to-socialize-your-puppy-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Independence Games to Prevent Separation Anxiety","puppy-training-independence-games","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ccb41d0d1be52b777a9581_puppy-independence-training-hero-leashfree-2880x1488.avif","","blog-puppy-training-independence-games-hero.avif","/images/blog/blog-puppy-training-independence-games-hero.avif","not_started","No local file matched yet."
"High","Blog Posts","Is Dog Insurance Worth It in Canada?","is-dog-insurance-worth-it-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ee7eebdab2221243308112_is-dog-insurance-worth-it-canada-hero.jpg","","blog-is-dog-insurance-worth-it-canada-hero.jpg","/images/blog/blog-is-dog-insurance-worth-it-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Is It Ever Too Late to Socialize a Dog?","is-it-ever-too-late-to-socialize-a-dog","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6906769e3a8e5318f17abcaf_puppy-socialization-hero-leashfree-2880x1488.jpg","","blog-is-it-ever-too-late-to-socialize-a-dog-hero.jpg","/images/blog/blog-is-it-ever-too-late-to-socialize-a-dog-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Keeping Your Dog Active Indoors During Winter","keeping-your-dog-active-indoors-during-winter","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ff7e6a7c679156ccfcc069_weimaraner-playing-indoors-during-winter.jpg","","blog-keeping-your-dog-active-indoors-during-winter-hero.jpg","/images/blog/blog-keeping-your-dog-active-indoors-during-winter-hero.jpg","not_started","No local file matched yet."
